demand_id,x,y,population,central
294,294466.7174,5628997.702800001,61.938532,0
295,294566.7174,5628997.702800001,19.039083,0
296,294716.7174,5628997.702800001,46.22535,1
297,294666.7174,5628997.702800001,9.413486,0
298,294016.7174,5628997.702800001,50.206674,0
299,293966.7174,5628997.702800001,43.406394,0
300,294116.7174,5628997.702800001,45.707799,0
301,294666.7174,5625097.702800001,3.448925,0
302,294066.7174,5628997.702800001,53.886799,0
303,294216.7174,5628997.702800001,50.011532,0
304,290616.7174,5631847.702800001,1.544168,0
305,294166.7174,5628997.702800001,33.526264,0
306,294316.7174,5628997.702800001,88.257265,0
307,294266.7174,5628997.702800001,48.214951,0
308,293566.7174,5628997.702800001,30.874877,0
309,294316.7174,5625097.702800001,0.494219,0
310,293716.7174,5628997.702800001,36.962463,0
311,293666.7174,5628997.702800001,4.197677,0
312,294416.7174,5625097.702800001,3.877389,0
313,293816.7174,5628997.702800001,6.183036,0
314,294366.7174,5625097.702800001,6.130008,0
315,293916.7174,5628997.702800001,48.82371,0
316,293866.7174,5628997.702800001,41.261953,0
317,293216.7174,5628997.702800001,4.666442,0
318,293166.7174,5628997.702800001,8.775032,0
319,293316.7174,5628997.702800001,5.508523,0
320,293266.7174,5628997.702800001,5.014304,0
321,294016.7174,5625097.702800001,6.301818,0
322,293416.7174,5628997.702800001,2.61745,0
323,293366.7174,5628997.702800001,18.491837,0
324,294116.7174,5625097.702800001,3.319537,0
325,293516.7174,5628997.702800001,1.47205,0
326,289916.7174,5631847.702800001,1.003285,0
327,293466.7174,5628997.702800001,7.633875,0
328,292816.7174,5628997.702800001,8.036886,0
329,292766.7174,5628997.702800001,10.811298,0
330,289966.7174,5631847.702800001,0.600274,0
331,292916.7174,5628997.702800001,4.513722,0
332,292866.7174,5628997.702800001,4.259189,0
333,293016.7174,5628997.702800001,7.937194,0
334,292966.7174,5628997.702800001,1.30024,0
335,293116.7174,5628997.702800001,0.598153,0
336,293066.7174,5628997.702800001,1.334178,0
337,292416.7174,5628997.702800001,5.33247,0
338,293766.7174,5625097.702800001,2.269588,0
339,292366.7174,5628997.702800001,6.85967,0
