stop_id,x,y
478,293638.0324505285,5627351.945060479
479,293581.9780412712,5627421.973430475
480,293977.97022665833,5627075.948821641
481,293134.96603910625,5627409.965848035
482,293070.97845100967,5627344.028344837
483,293145.98864300677,5627330.027909614
484,293017.99499273044,5627364.949357028
485,293003.0145279524,5627346.949551651
486,293155.01908574736,5627344.033085126
487,290681.0031407974,5623613.974136274
488,290663.02440283087,5623608.014401942
489,291190.972439043,5624068.997249195
490,291157.96999352425,5624046.044308436
491,291410.00285322947,5624379.023238272
492,291401.9749599915,5624385.022889516
493,291735.97221488424,5624855.035688346
494,291725.00547105283,5624867.053574671
495,291328.0301005605,5624855.971915109
496,291378.027634089,5625008.967463359
497,291571.0271150078,5624902.042276903
498,291665.99367106403,5625025.963500652
499,291957.976603128,5625017.9848120315
500,292000.9892811334,5625053.013827823
501,291577.0195107822,5625097.99609097
502,298915.6432770452,5629390.021466968
503,298935.858037819,5629398.03682498
504,299403.9953859474,5629577.94528046
505,299400.0341293579,5629607.045478032
506,299431.9855795014,5630071.983424185
507,299445.9792014195,5630066.991026394
508,299257.00983927003,5629839.015824541
509,299265.98634635704,5629843.01200281
510,299767.6307574602,5629529.996036426
511,299740.62894373597,5629541.833749627
512,299440.714664245,5629726.836277841
513,299463.9910762901,5629724.603986953
514,299272.0157730392,5629667.980077451
515,299254.97470513504,5629647.037406157
516,300278.6469729836,5630670.831946151
517,300279.02811797644,5630689.967140187
518,300118.7848267207,5630499.162215728
519,299656.0730501511,5630716.015006479
520,299924.9759383579,5630031.977834726
521,298797.97873101046,5628945.985024105
522,298842.0254798507,5628912.998216066
523,299356.3647888728,5629316.244917653
524,299353.0184454932,5629299.005228521
525,299227.02612153493,5629235.053348946
526,299225.02708052157,5629217.984461598
527,299580.59554477164,5628921.163091722
528,299588.6349398687,5628909.942828996
529,299554.0356772663,5629460.0528920265
530,299502.99565787165,5629469.031475137
531,300017.96543142543,5629157.979532972
532,300057.0038697688,5629135.995193745
533,300544.4344540554,5628854.447004011
534,300575.35373886547,5628848.92129616
535,300390.0333191062,5629134.02333246
536,300367.9887135364,5629115.050322561
537,300394.0241715774,5628854.974756883
538,300381.98955083836,5628878.036977577
539,300417.25966255495,5628536.444421365
540,300411.991038788,5628509.480384765
541,299998.81348713656,5628679.301494885
542,300151.0236604586,5626969.023267917
543,300134.9666376351,5626960.954696446
544,299226.9690347533,5628804.960001917
545,299268.9666528356,5628791.985353261
546,299323.9229033083,5627172.032958271
547,299324.83645830175,5627155.408630121
548,300024.00657593267,5627652.485415998
549,299972.07635432854,5627587.231346669
550,298504.00552824116,5628016.094797342
551,298491.24242357595,5628014.695556826
552,299733.9502895138,5627398.97672031
553,299779.11343984806,5627416.614140885
554,298880.6609121582,5627676.996443536
555,298845.21719373984,5627697.180319384
556,299350.0153065836,5627770.910499699
557,299563.57287460746,5627726.063219356
558,301134.66839184554,5628930.860245191
559,301203.1460496803,5628925.4634053055
560,300754.7840708464,5629361.657146553
561,300793.98434816906,5629360.491883754
562,297435.97329518385,5630970.036779673
563,297460.0033998691,5630970.99468006
564,298324.53920501174,5630350.344776727
565,298295.99543191673,5630385.965332671
566,298452.32635796303,5630247.642095376
567,298469.01794203086,5630257.684606548
568,297756.97596159275,5630532.0175825395
569,297740.9926607612,5630562.032040588
570,296375.34717696946,5631994.891586009
571,296383.43357673666,5631952.710723534
572,297739.85340969125,5631281.107761158
573,297575.61870687,5631392.707542711
574,297538.01025022764,5631331.040299287
575,297927.96661805396,5631699.008144177
576,297940.51241047366,5631691.395381852
577,297798.7076299903,5631054.138101945
578,297757.0043821138,5631055.98063114
579,299400.257832746,5631250.597585506
580,299399.98493935086,5631270.982855034
581,299532.3805110251,5631073.714766708
582,299536.0087196897,5631057.987849687
583,299532.9271848871,5631097.074535584
584,299538.8575780592,5631109.983976703
585,300150.25662941753,5630870.485498999
586,300200.71891042707,5630826.574993263
587,299948.9973994293,5630727.019553027
588,299632.3747973166,5630760.348349895
589,300089.9883862135,5630783.952762787
590,299912.9866181556,5630731.966038695
591,300896.37912051764,5630401.123051407
592,300895.32654536085,5630388.3597463295
593,300582.9997917372,5624117.012130025
594,300567.0361031386,5624045.032334847
595,300688.0237903292,5624594.964833549
596,300673.9911581273,5624640.034656499
597,300695.02250311826,5624620.972326239
598,299893.0058068859,5624091.991803012
599,299882.0085070038,5624088.962178678
600,299698.9668346667,5624363.970026287
601,299691.01987442817,5624341.006005903
602,300334.9677730985,5623805.965399151
603,300302.96879074007,5623820.995346617
604,300811.00651835406,5623446.979837952
605,300807.0359978564,5623504.0229518805
606,300447.9834802503,5623171.04497056
607,300524.02758227655,5623234.047912657
608,300540.997247779,5623690.982733057
609,300510.0316263854,5623697.955766095
610,301423.98608222354,5622589.959828809
611,301413.0267151509,5622548.960934148
612,300947.02440978796,5623581.959230553
613,300939.0314134203,5623603.97417129
614,301528.026335205,5623301.98387397
615,301564.02544703346,5623221.01212469
616,300913.9719423009,5623524.992536021
617,301255.968320281,5623367.001380006
618,301262.9892567772,5623363.950692389
619,300915.9691980028,5623531.039695786
620,299898.9711422722,5622916.955785784
621,299913.02180921426,5622923.987941384
622,298765.9748242254,5622729.044194832
623,298814.9711948127,5622701.99361455
624,297487.98518564634,5622237.030009153
625,298857.0143155579,5622300.008383524
626,298782.9916520513,5622272.020638834
627,299911.016701878,5622182.018355188
628,299927.022586929,5622157.022674218
629,298569.9760179341,5623062.040781913
630,298555.9995384355,5623045.990996206
631,298249.0166947264,5622795.982736796
